video_id,qid,question,answer,a0,a1,a2,a3,a4,type
4955723618,6,what did the man in black in front of the man in grey do?,look at man in grey before the man in grey passed him the microphone,look at man in grey after the man in grey passed him the microphone,look at man in grey when the man in grey passed him the microphone,look at man in grey posterior to the man in grey passed him the microphone,the man in grey passed him the microphone before look at man in grey,look at man in grey before the man in grey passed him the microphone,TP
7364407194,3,what did the baby in blue do at the end?,looked to his right before he looked up,looked to his right after he looked up,looked to his right when he looked up,looked to his right before he looked up,looked to his right posterior to he looked up,he looked up before looked to his right,TP
2552130183,3,what was the baby doing at the end?,jumping near the adult s knee before turning back,jumping near the adult s knee after turning back,jumping near the adult s knee when turning back,jumping near the adult s knee posterior to turning back,turning back before jumping near the adult s knee,jumping near the adult s knee before turning back,TP
2401167740,3,what was the man doing?,speaking before taking a drink from his cup,speaking after taking a drink from his cup,speaking before taking a drink from his cup,speaking when taking a drink from his cup,speaking posterior to taking a drink from his cup,taking a drink from his cup before speaking,TP
5445581571,3,what is the white dog playing with?,yellow toy before he looked up,yellow toy after he looked up,yellow toy before he looked up,yellow toy when he looked up,yellow toy posterior to he looked up,he looked up before yellow toy,TP
10030609934,9,what did the boy do at the beginning of the video?,looking at toy on ground before he bend down,looking at toy on ground before he bend down,looking at toy on ground after he bend down,looking at toy on ground when he bend down,looking at toy on ground posterior to he bend down,he bend down before looking at toy on ground,TP
8531675050,6,what did the women do?,do up her hairs before going near the man,do up her hairs after going near the man,do up her hairs when going near the man,do up her hairs posterior to going near the man,going near the man before do up her hairs,do up her hairs before going near the man,TP
4968805923,6,what did the rightmost man in black do?,threw balloon before the man in white hit the balloon,threw balloon after the man in white hit the balloon,threw balloon when the man in white hit the balloon,threw balloon before the man in white hit the balloon,threw balloon posterior to the man in white hit the balloon,the man in white hit the balloon before threw balloon,TP
5498331490,0,what was the cat doing?,pooping before it first turned around,pooping after it first turned around,pooping before it first turned around,pooping when it first turned around,pooping posterior to it first turned around,it first turned around before pooping,TP
4984417707,4,what was the elephant at the goal post doing?,moving around before the ball was kicked over,moving around after the ball was kicked over,moving around when the ball was kicked over,moving around posterior to the ball was kicked over,the ball was kicked over before moving around,moving around before the ball was kicked over,TP
4584426085,8,what was the puppy doing?,climbing on to lady before the lady put the red shirt over its body,climbing on to lady after the lady put the red shirt over its body,climbing on to lady before the lady put the red shirt over its body,climbing on to lady when the lady put the red shirt over its body,climbing on to lady posterior to the lady put the red shirt over its body,the lady put the red shirt over its body before climbing on to lady,TP
4516967897,4,what were the two ladies doing at the start of the video?,staring at the fountain before they started talking,staring at the fountain after they started talking,staring at the fountain when they started talking,staring at the fountain posterior to they started talking,they started talking before staring at the fountain,staring at the fountain before they started talking,TP
9917882506,3,what was the boy doing right in the middle?,starts cycling again before the girl came to a stop,starts cycling again after the girl came to a stop,starts cycling again when the girl came to a stop,starts cycling again posterior to the girl came to a stop,the girl came to a stop before starts cycling again,starts cycling again before the girl came to a stop,TP
4244817395,7,what does the man do to the boy in the middle?,pat his head before leaving him,pat his head after leaving him,pat his head when leaving him,pat his head posterior to leaving him,leaving him before pat his head,pat his head before leaving him,TP
7001078933,0,what did the man with white helmet do?,shifted his position before he bend down,shifted his position after he bend down,shifted his position when he bend down,shifted his position posterior to he bend down,he bend down before shifted his position,shifted his position before he bend down,TP
6160414832,1,what did the man in striped do?,shake the dice before he threw the dices,shake the dice after he threw the dices,shake the dice when he threw the dices,shake the dice posterior to he threw the dices,he threw the dices before shake the dice,shake the dice before he threw the dices,TP
2834146886,8,what does the white dog do?,smells the black dog after going to the cushion,smells the black dog before going to the cushion,smells the black dog prior to going to the cushion,smells the black dog after going to the cushion,smells the black dog when going to the cushion,going to the cushion after smells the black dog,TN
3441428429,10,what does the female skater do?,continue skating after the male skater puts her back down on the ice,continue skating before the male skater puts her back down on the ice,continue skating after the male skater puts her back down on the ice,continue skating prior to the male skater puts her back down on the ice,continue skating when the male skater puts her back down on the ice,the male skater puts her back down on the ice after continue skating,TN
6356067859,6,what does the girl in white do in the middle?,feed horse with grass after bending down,feed horse with grass before bending down,feed horse with grass after bending down,feed horse with grass prior to bending down,feed horse with grass when bending down,bending down after feed horse with grass,TN
5296635780,7,what does the man do?,lean forward after the lady appear to punch him and smiles,lean forward before the lady appear to punch him and smiles,lean forward prior to the lady appear to punch him and smiles,lean forward when the lady appear to punch him and smiles,lean forward after the lady appear to punch him and smiles,the lady appear to punch him and smiles after lean forward,TN
6136926089,8,what does the baby do?,move toward the slides after letting go of the cart,move toward the slides before letting go of the cart,move toward the slides after letting go of the cart,move toward the slides prior to letting go of the cart,move toward the slides when letting go of the cart,letting go of the cart after move toward the slides,TN
6018490041,6,what does the man in white do at the start?,hit cans after moving forward,hit cans before moving forward,hit cans prior to moving forward,hit cans after moving forward,hit cans when moving forward,moving forward after hit cans,TN
7416295940,7,what does the dog do?,backed away after the baby touches and caresses the dog s back,backed away before the baby touches and caresses the dog s back,backed away after the baby touches and caresses the dog s back,backed away prior to the baby touches and caresses the dog s back,backed away when the baby touches and caresses the dog s back,the baby touches and caresses the dog s back after backed away,TN
3943634344,4,what did the girl do?,stand up after she finished reciting the pictures on the book,stand up before she finished reciting the pictures on the book,stand up prior to she finished reciting the pictures on the book,stand up after she finished reciting the pictures on the book,stand up when she finished reciting the pictures on the book,she finished reciting the pictures on the book after stand up,TN
4094488636,4,what does the brown dog do?,look around after stepping over the red strap near the start,look around before stepping over the red strap near the start,look around after stepping over the red strap near the start,look around prior to stepping over the red strap near the start,look around when stepping over the red strap near the start,stepping over the red strap near the start after look around,TN
3429509208,3,what did the baby do?,raised his hand to take the camera after he approached near the camera,raised his hand to take the camera before he approached near the camera,raised his hand to take the camera prior to he approached near the camera,raised his hand to take the camera after he approached near the camera,raised his hand to take the camera when he approached near the camera,he approached near the camera after raised his hand to take the camera,TN
3477387686,2,what did the girl do in the middle of the video?,smile at the camera after lifting the dog s ear,smile at the camera before lifting the dog s ear,smile at the camera prior to lifting the dog s ear,smile at the camera when lifting the dog s ear,smile at the camera after lifting the dog s ear,lifting the dog s ear after smile at the camera,TN
8740703217,1,what does the baby do?,eat the food after she stops waving her arm up and down,eat the food before she stops waving her arm up and down,eat the food prior to she stops waving her arm up and down,eat the food when she stops waving her arm up and down,eat the food after she stops waving her arm up and down,she stops waving her arm up and down after eat the food,TN
4584426085,1,what did the lady do?,dress the puppy after grabbing the puppy the second time,dress the puppy before grabbing the puppy the second time,dress the puppy after grabbing the puppy the second time,dress the puppy prior to grabbing the puppy the second time,dress the puppy when grabbing the puppy the second time,grabbing the puppy the second time after dress the puppy,TN
5445581571,2,what did the white dog do?,get up after he looked up,get up before he looked up,get up prior to he looked up,get up when he looked up,get up after he looked up,he looked up after get up,TN
9088819598,5,what does the baby do?,move his body after the ball rolls to the crook of his arm,move his body before the ball rolls to the crook of his arm,move his body prior to the ball rolls to the crook of his arm,move his body when the ball rolls to the crook of his arm,the ball rolls to the crook of his arm after move his body,move his body after the ball rolls to the crook of his arm,TN
9565310990,7,what does the baby do?,touch the cloth after reaching the corner of the cloth,touch the cloth before reaching the corner of the cloth,touch the cloth after reaching the corner of the cloth,touch the cloth prior to reaching the corner of the cloth,touch the cloth when reaching the corner of the cloth,reaching the corner of the cloth after touch the cloth,TN
8464056582,4,what does the dog do at the start?,sniff the babys head after the baby sits down,sniff the babys head before the baby sits down,sniff the babys head after the baby sits down,sniff the babys head prior to the baby sits down,sniff the babys head when the baby sits down,the baby sits down after sniff the babys head,TN
8064178441,7,what does the baby do?,toss it away after moving the penguin toy nearer to him near the end of the video,toss it away before moving the penguin toy nearer to him near the end of the video,toss it away prior to moving the penguin toy nearer to him near the end of the video,toss it away after moving the penguin toy nearer to him near the end of the video,toss it away when moving the penguin toy nearer to him near the end of the video,moving the penguin toy nearer to him near the end of the video after toss it away,TN
4217422838,4,what did the lady do at the beginning of the video?,put the box aside after she closed the box in front of her,put the box aside before she closed the box in front of her,put the box aside prior to she closed the box in front of her,put the box aside after she closed the box in front of her,put the box aside when she closed the box in front of her,she closed the box in front of her after put the box aside,TN
4138579400,6,what did the boy do?,touch his hair after touching his spectacles,touch his hair before touching his spectacles,touch his hair prior to touching his spectacles,touch his hair after touching his spectacles,touch his hair when touching his spectacles,touching his spectacles after touch his hair,TN
4273039295,8,what does the woman in green beanie do?,run and catch him after the child runs away for a while,run and catch him before the child runs away for a while,run and catch him after the child runs away for a while,run and catch him prior to the child runs away for a while,run and catch him when the child runs away for a while,the child runs away for a while after run and catch him,TN
10597533885,4,what does the baby do in the middle?,plays with another toy after touching the toy house,plays with another toy before touching the toy house,plays with another toy after touching the toy house,plays with another toy prior to touching the toy house,plays with another toy when touching the toy house,touching the toy house after plays with another toy,TN
3249402410,9,what did the lady in pink do?,walk away after the lady in red passed her the pan,walk away before the lady in red passed her the pan,walk away prior to the lady in red passed her the pan,walk away after the lady in red passed her the pan,walk away when the lady in red passed her the pan,the lady in red passed her the pan after walk away,TN
4485498145,0,what does the lady in pink do at the start?,talk to the person in front after drinking some water,talk to the person in front before drinking some water,talk to the person in front prior to drinking some water,talk to the person in front when drinking some water,talk to the person in front after drinking some water,drinking some water after talk to the person in front,TN
4688219212,3,what does the boy do at the start?,pull himself up after catching the rings,pull himself up before catching the rings,pull himself up after catching the rings,pull himself up prior to catching the rings,pull himself up when catching the rings,catching the rings after pull himself up,TN
7114553643,1,what did the man in brown vest do in the middle of the video?,hold the lady s hand after he stood up,hold the lady s hand before he stood up,hold the lady s hand prior to he stood up,hold the lady s hand when he stood up,he stood up after hold the lady s hand,hold the lady s hand after he stood up,TN
5658916668,6,what did the man do?,gets back up after falling,gets back up before falling,gets back up prior to falling,gets back up when falling,gets back up after falling,falling after gets back up,TN
3972259774,0,what does the man do at the start?,sit down after removing the card from the camera,sit down after removing the card from the camera,sit down before removing the card from the camera,sit down prior to removing the card from the camera,sit down when removing the card from the camera,removing the card from the camera after sit down,TN
3321261856,2,what did the girl do?,stomp her foot after she pointed,stomp her foot after she pointed,stomp her foot before she pointed,stomp her foot prior to she pointed,stomp her foot when she pointed,she pointed after stomp her foot,TN
5333075105,11,what did the man do?,stop after he reached the cameraman,stop before he reached the cameraman,stop prior to he reached the cameraman,stop after he reached the cameraman,stop when he reached the cameraman,he reached the cameraman after stop,TN
3557498300,9,what does the adult do at the end?,separate the kids after approaching the two kids,separate the kids before approaching the two kids,separate the kids after approaching the two kids,separate the kids prior to approaching the two kids,separate the kids when approaching the two kids,approaching the two kids after separate the kids,TN
5801184682,2,what did the cat do?,play with the hand after the human puts the hand on the floor,play with the hand before the human puts the hand on the floor,play with the hand prior to the human puts the hand on the floor,play with the hand when the human puts the hand on the floor,play with the hand after the human puts the hand on the floor,the human puts the hand on the floor after play with the hand,TN
5328004991,6,what does the boy do near the end?,shakes the box after picking up a box,shakes the box before picking up a box,shakes the box prior to picking up a box,shakes the box when picking up a box,picking up a box after shakes the box,shakes the box after picking up a box,TN
4087654898,7,what does the girl do?,pick up the bucket after filling the bucket,pick up the bucket before filling the bucket,pick up the bucket prior to filling the bucket,pick up the bucket when filling the bucket,filling the bucket after pick up the bucket,pick up the bucket after filling the bucket,TN
11541421563,5,what does the woman in brown do at the start?,leave her seat after sitting for a while,leave her seat before sitting for a while,leave her seat prior to sitting for a while,leave her seat when sitting for a while,sitting for a while after leave her seat,leave her seat after sitting for a while,TN
7288107396,3,what did the boy do?,run to the present after he got down from the stairs,run to the present before he got down from the stairs,run to the present prior to he got down from the stairs,run to the present when he got down from the stairs,run to the present after he got down from the stairs,he got down from the stairs after run to the present,TN
4199369046,8,what do the other people do at the beginning?,laughs after the lady finishes drinking,laughs before the lady finishes drinking,laughs after the lady finishes drinking,laughs prior to the lady finishes drinking,laughs when the lady finishes drinking,the lady finishes drinking after laughs,TN
5445581571,7,what is the black spotted dog looking at?,white dog after he looked up,white dog after he looked up,white dog before he looked up,white dog prior to he looked up,white dog when he looked up,he looked up after white dog,TN
4483447009,3,what does the duck do at the start?,move towards fence after pecking for a while,move towards fence before pecking for a while,move towards fence prior to pecking for a while,move towards fence after pecking for a while,move towards fence when pecking for a while,pecking for a while after move towards fence,TN
8811725760,6,what did the girl do?,slide down after posing for a photo,slide down before posing for a photo,slide down after posing for a photo,slide down prior to posing for a photo,slide down when posing for a photo,posing for a photo after slide down,TN
5913180144,2,what does the man in blue socks do?,take a step away after he was put down by the man in grey suit,take a step away before he was put down by the man in grey suit,take a step away prior to he was put down by the man in grey suit,take a step away when he was put down by the man in grey suit,take a step away after he was put down by the man in grey suit,he was put down by the man in grey suit after take a step away,TN
8189958994,8,what did the lady do?,rubs the dog after she stopped the black dog from circling her,rubs the dog before she stopped the black dog from circling her,rubs the dog prior to she stopped the black dog from circling her,rubs the dog when she stopped the black dog from circling her,rubs the dog after she stopped the black dog from circling her,she stopped the black dog from circling her after rubs the dog,TN
4762946272,4,what did the boy do?,pour flour after the woman poured the flour into the spoon,pour flour before the woman poured the flour into the spoon,pour flour prior to the woman poured the flour into the spoon,pour flour when the woman poured the flour into the spoon,pour flour after the woman poured the flour into the spoon,the woman poured the flour into the spoon after pour flour,TN
8513603944,8,what does the child in blue helmet do?,continue walking after turning around,continue walking before turning around,continue walking after turning around,continue walking prior to turning around,continue walking when turning around,turning around after continue walking,TN
10607095936,6,what does the lady do at the start?,talk to the audience after taking the microphone from the man in red cape,talk to the audience before taking the microphone from the man in red cape,talk to the audience after taking the microphone from the man in red cape,talk to the audience prior to taking the microphone from the man in red cape,talk to the audience when taking the microphone from the man in red cape,taking the microphone from the man in red cape after talk to the audience,TN
6097994550,0,what did the man sitting on top do?,kneel at the side after he came off the person on the ground,kneel at the side before he came off the person on the ground,kneel at the side after he came off the person on the ground,kneel at the side prior to he came off the person on the ground,kneel at the side when he came off the person on the ground,he came off the person on the ground after kneel at the side,TN
4151403382,4,what does the boy in brown bib do?,bend down to play after seeing the piano,bend down to play before seeing the piano,bend down to play prior to seeing the piano,bend down to play when seeing the piano,bend down to play after seeing the piano,seeing the piano after bend down to play,TN
3655906094,9,what did the man with grey hat do?,bend down after talking to the man with sunglasses,bend down before talking to the man with sunglasses,bend down prior to talking to the man with sunglasses,bend down when talking to the man with sunglasses,talking to the man with sunglasses after bend down,bend down after talking to the man with sunglasses,TN
5061117640,5,what does the man in grey do at the start?,sit down after walking for a while in the room,sit down before walking for a while in the room,sit down prior to walking for a while in the room,sit down after walking for a while in the room,sit down when walking for a while in the room,walking for a while in the room after sit down,TN
7164729910,6,what does the boy do at the start?,retreat backwards after hitting the wall,retreat backwards before hitting the wall,retreat backwards prior to hitting the wall,retreat backwards when hitting the wall,retreat backwards after hitting the wall,hitting the wall after retreat backwards,TN
13919236672,7,what did the girl do?,close the red box after she dragged open the red box,close the red box before she dragged open the red box,close the red box after she dragged open the red box,close the red box prior to she dragged open the red box,close the red box when she dragged open the red box,she dragged open the red box after close the red box,TN
3046900922,2,what does the child do near the end?,walk away after being put down on the ground,walk away before being put down on the ground,walk away prior to being put down on the ground,walk away when being put down on the ground,walk away after being put down on the ground,being put down on the ground after walk away,TN
4859057828,3,what do the three ladies do?,laugh after posing together,laugh after posing together,laugh before posing together,laugh prior to posing together,laugh when posing together,posing together after laugh,TN
4782722858,3,what did the lady in brown skirt do?,sing to microphone after the first time she shaked her body,sing to microphone before the first time she shaked her body,sing to microphone prior to the first time she shaked her body,sing to microphone when the first time she shaked her body,the first time she shaked her body after sing to microphone,sing to microphone after the first time she shaked her body,TN
5323654756,6,what did the girl in pink do?,move balloons towards him after she approached the boy in blue,move balloons towards him before she approached the boy in blue,move balloons towards him after she approached the boy in blue,move balloons towards him prior to she approached the boy in blue,move balloons towards him when she approached the boy in blue,she approached the boy in blue after move balloons towards him,TN
3557498300,7,what did the boy in red do at the beginning?,run after the boy in light blue ran off with the kite,run before the boy in light blue ran off with the kite,run prior to the boy in light blue ran off with the kite,run when the boy in light blue ran off with the kite,the boy in light blue ran off with the kite after run,run after the boy in light blue ran off with the kite,TN
6329077812,9,what did the lady do?,continue feeding after cleaning the baby s mouth,continue feeding before cleaning the baby s mouth,continue feeding prior to cleaning the baby s mouth,continue feeding when cleaning the baby s mouth,cleaning the baby s mouth after continue feeding,continue feeding after cleaning the baby s mouth,TN
6592821115,6,what did the woman in grey do?,carry the baby after she clapped her hand,carry the baby before she clapped her hand,carry the baby prior to she clapped her hand,carry the baby when she clapped her hand,she clapped her hand after carry the baby,carry the baby after she clapped her hand,TN
5996148663,8,what did the lady do?,brought it to herself after trying to collect the water with her hands,brought it to herself before trying to collect the water with her hands,brought it to herself prior to trying to collect the water with her hands,brought it to herself when trying to collect the water with her hands,brought it to herself after trying to collect the water with her hands,trying to collect the water with her hands after brought it to herself,TN
7536230796,8,what does the baby do?,gets distracted after watching the tv for a while,gets distracted before watching the tv for a while,gets distracted after watching the tv for a while,gets distracted prior to watching the tv for a while,gets distracted when watching the tv for a while,watching the tv for a while after gets distracted,TN
13919236672,9,what does the girl do in the middle?,drags the box out after approaching the red box,drags the box out before approaching the red box,drags the box out after approaching the red box,drags the box out prior to approaching the red box,drags the box out when approaching the red box,approaching the red box after drags the box out,TN
4179163342,12,what did the tallest girl do?,jump up and down after the man pointed at her,jump up and down before the man pointed at her,jump up and down prior to the man pointed at her,jump up and down after the man pointed at her,jump up and down when the man pointed at her,the man pointed at her after jump up and down,TN
5237219621,5,what did the woman in black near the tv do at the middle?,give thumbs up after the woman in pink spoke,give thumbs up after the woman in pink spoke,give thumbs up before the woman in pink spoke,give thumbs up prior to the woman in pink spoke,give thumbs up when the woman in pink spoke,the woman in pink spoke after give thumbs up,TN
4378803532,7,what did the man do?,exchange the sparkles after the boy in stripped asked for an exchange of sparkles,exchange the sparkles before the boy in stripped asked for an exchange of sparkles,exchange the sparkles prior to the boy in stripped asked for an exchange of sparkles,exchange the sparkles when the boy in stripped asked for an exchange of sparkles,the boy in stripped asked for an exchange of sparkles after exchange the sparkles,exchange the sparkles after the boy in stripped asked for an exchange of sparkles,TN
10042935613,10,what does the shirtless man do?,picks the plate and move forward after walking into the counter,picks the plate and move forward after walking into the counter,picks the plate and move forward before walking into the counter,picks the plate and move forward prior to walking into the counter,picks the plate and move forward when walking into the counter,walking into the counter after picks the plate and move forward,TN
4838113006,8,what does the lady do?,touch another bell after picking a bell from table b and place something underneath it,touch another bell after picking a bell from table b and place something underneath it,touch another bell before picking a bell from table b and place something underneath it,touch another bell prior to picking a bell from table b and place something underneath it,touch another bell when picking a bell from table b and place something underneath it,picking a bell from table b and place something underneath it after touch another bell,TN
7571121368,6,what did the child do?,jump over after walking to the middle of the intersection of the bridge,jump over before walking to the middle of the intersection of the bridge,jump over prior to walking to the middle of the intersection of the bridge,jump over after walking to the middle of the intersection of the bridge,jump over when walking to the middle of the intersection of the bridge,walking to the middle of the intersection of the bridge after jump over,TN
3388598772,5,what does the man in blue and the woman in black do?,take drink after finishing kissing,take drink before finishing kissing,take drink prior to finishing kissing,take drink after finishing kissing,take drink when finishing kissing,finishing kissing after take drink,TN
2552130183,10,what does the baby do near the end?,crawls after the lady lays it down on the ground,crawls before the lady lays it down on the ground,crawls after the lady lays it down on the ground,crawls prior to the lady lays it down on the ground,crawls when the lady lays it down on the ground,the lady lays it down on the ground after crawls,TN
7088595057,9,what happened to the black sheep?,fell back after it tried to get up from the floor,fell back before it tried to get up from the floor,fell back after it tried to get up from the floor,fell back prior to it tried to get up from the floor,fell back when it tried to get up from the floor,it tried to get up from the floor after fell back,TN
5902452647,4,what does the girl do in the middle?,walks backwards after the boy walks a few steps towards her,walks backwards before the boy walks a few steps towards her,walks backwards prior to the boy walks a few steps towards her,walks backwards after the boy walks a few steps towards her,walks backwards when the boy walks a few steps towards her,the boy walks a few steps towards her after walks backwards,TN
8177965766,0,what did the woman do to the microphone after a?,switch to the other hand while,switch to the other hand before,switch to the other hand after,switch to the other hand prior to,switch to the other hand while,switch to the other hand posterior to,TN
9735768590,5,what does the woman do?,brush her hands across the baby s tummy after tucking out her tongue,brush her hands across the baby s tummy before tucking out her tongue,brush her hands across the baby s tummy prior to tucking out her tongue,brush her hands across the baby s tummy after tucking out her tongue,brush her hands across the baby s tummy when tucking out her tongue,tucking out her tongue after brush her hands across the baby s tummy,TN
4164771889,3,what does the boy being buried do?,move legs after putting his head down the last time,move legs before putting his head down the last time,move legs prior to putting his head down the last time,move legs when putting his head down the last time,putting his head down the last time after move legs,move legs after putting his head down the last time,TN
