qid,video_id,question,answer,type
63,OFTkwnSh-sQ,what happened before the person in yellow jumped,run up,2
64,jibbgUBuuSA,what happened after the success of the athlete's attempt,be interviewed,2
65,ghHZ9M-jx0w,hat happened after the man in white got the ball,go out,2
66,CKSlgK_2FP4,what happened to the person in the video after picking up the tool,sharpening,2
67,BmL2XGNrxc4,what happened to the person in the video after picking up the tool,chopping wood,2
68,k--dW53UQWs,what does the fitness person do before they pull the equipment,take deep breath,2
69,bBRzBh0gAZQ,where did the participants drop in after their takeoff,bunker,6
70,_l251ZuOCYU,who received the ball after the referee's service,red jersey,8
71,R-hsYQNtnn0,why does the man in blue shirt get off the pole after winning the game,express happiness,8
72,0iqx7o5WYW8,why does the man in the black hat pass the ball after the ball,score,8
73,tzP0lKSUv_o,why do the athletes hold their fist after weightlifting,express joy,8
74,HtG-i1CG2Qs,why does the man in blue clothes wash their hands after using the toilet,keep healthy,8
75,I1iUbyjWy7k,why does the man in red clothes run after striking the ball,speed up,8
76,KsFid_YVsn0,why does the man in videos need to arrange neatly before dancing,beautiful,8
77,0jdSl5-lMpY,why does the man who wear white clothes nail a nail before pulling the purple line,fixed thread,8
78,ufrTSC3Dewg,why does the man in green run before pushing a round plate,pick up speed,8
79,uIHWHnItois,why does the man wearing orange wear bow after they slide forward,reduce center of gravity,8
80,H9PaZiWLgXU,why does the man wearing yellow cilps some lemon slices after putting the ice,decorate,8
81,hIYN8cC3pEA,why does the man who wear white vests want to wave after jumping,balance,8
82,qlK-c7hRqcA,why does the man with striped shirts wear yellow cloth to squatting down after tires,bullet dodging,8
83,JGPhQX97OSE,why do they play music before the ball game begins,active atmosphere,8
84,uM7QSskmloo,why does someone in the video pull the rope before pruning branches,maintain level,8
85,0XTAq_xvquw,why do they want to display the tools before the video starts,convenient imitation,8
86,SJ7jk5XAjng,why do they want to move your wrist before the wrench is on the wrist,prevent being injury,8
87,7UwRRkgQSj4,why does the blonde woman gasp after tying her shoelaces,tired out,8
88,cK0-WcGXacQ,why does the black man spin after throwing the discus,inertia,8
89,_2txWbQfJrY,why do they spread cement before laying tiles in the video,fixed ceramic tile,8
90,2bQx5igckJc,why do they want to display finished products after the end of green subtitles,easy understand,8
91,iZT4XgzUHm4,what happened before the helmet-wearing person rode their bikes up the hill,accelerate,2
92,a2IvS0xbNGQ,what happened to the person in the orange suit after the bounce,air rotation,2
93,mixxaL3Bdv8,what happened to the person in the orange dress after the third jump,back somersault,2
94,vnZmsOgWs0o,what happened to the person in the orange pants before he fell,skiing,2
95,Ye_uVlSo1HI,what happened after the person in red jumped,table collapsed,2
96,0q9yZPTBbus,what happened to the person in white after he blew his hair,tie up hair,2
97,gkwLhml3mnA,what happened to the person in white after he retracted his right foot,open your hands,2
98,RgiVa9GMYxE,what happened to the person in white before he bowed his head,shave sideburns,2
99,YMOYyt3kSOs,what happened to the person in white before he threw the shot put,circle,2
100,rApbE1VkEjE,what happened to the person in the yellow jacket after he bent over six times,turn head,2
101,9FQ-VLkCZo8,what happened to the person after the game with the green clothes,rest,2
102,R74yolowFPs,what happened to the ink-green short-sleeved person before pushing the disk,stride left foot,2
103,45hcc_VI4t4,what happened to the person with the yellow hair after the camera switch,straighten back,2
104,NDq29HQJVP0,what happened after the white person played hockey,rest,2
105,GxDNGtoVjS0,what happened after the person in the video took the scissors,cut off,2
106,K49OCArHjXI,what happened to the person who don't wear flippers after they give out their thumbs,anjali mudra,2
107,CuLC5G7yWxA,what happened to the woman in the video after the wallpaper,look at effect,2
108,kBTqTp0SKq8,what happened after the child with the stick hit the toy for the second time,toys have been raised,2
109,cCimLg-8Dy4,what happened to the girl in black after she was blindfolded,waving,2
110,i6wR9_tkg6A,what happened to the person in green after he cut the watermelon,pulp,2
111,G_rVqf_hwXw,what happened to the person in the blue jacket after he left his arm,be pulled down,2
112,Q5HdVXF390c,what happened to the person in the plaid shirts after they left the glass,stand up,2
113,hIYN8cC3pEA,what happened after the person in the white vest jumped,wave,2
114,SNja9iUdAiI,what happened after the person with the pigtail hit his opponent for the first time,return to place,2
115,qSP3_C7QWpU,what happened after the person in the red vest was lifted,fell to ground,2
116,4LF0hL-mgks,what happened after the person who first appeared on the video sat down,wash dishes,2
117,kYkvyRKxwfY,what happened after the white person hit the ball on the sphere,lose ball,2
118,QXN6odBnVmI,what happened after the black short-sleeved person wiped five times with his left hand,changing right hand,2
119,gZB_XrTnDCI,what happened to the green person after he jumped,rotary handlebar,2
120,Uae2MWoldTU,what happened after the person in the video assembled the christmas tree,turn on light,2
121,a4gI4LC1rJk,what happened to the person in the video after he peeled the potatoes,put sweet potato in bowls,2
122,A0b_pqaKCX8,what happened to the person in black after he drank the green liquid,vomit,2
123,2nDJpvD-eZU,what happened to the person in the video after they cut the potatoes,put into water tank,2
124,Oh3-DvDCpZ4,what happened after the white person stirred the dish,well cooked,2
125,04qggWACGWk,what happened after the person in the video put hair cream on his hand,put on leg,2
126,qgUHRwC3194,what happened to the person in the white short sleeve after he turned around,black pants swimmers,2
127,uw9x69DT8_g,what happened after the person in the video rubbed his eyes with his hands,go on running,2
129,an1R4BP97JY,what happened after the fertilizer was put in the soil,be cuddle,2
130,jbCQY7V7O1s,what happened to the first person who showed up after he finished talking,go out of room,2
131,GjcRJzPjbRI,what happened after the person in the grey vest turned and got up,shot put,2
132,Bgi2Y85Mbwk,what happened after the person in the video took a sip,puff out smoke,2
133,pVoM_kUQ4_E,what happened after the pumpkin lamp was modeled,audience applauded,2
134,cQgP0-Id-p4,what happened to the person in the video after she won,celebrate,2
135,FADShG5lyB8,what happened to men after they got on fitness equipment,exercise,2
137,eLh51DwDp-E,what does woman wearing black clothes do after wearing shoes,take off shoes,2
138,ETbbYC0OhL0,what did purple hair women do before falling down on purple dress woman,lift her up,2
139,4JmFOPoKluM,what did the people do after they won the tug-of-war,take off long rope,8
140,8tCRp3NKtkI,what does the blond man do after he steps on a grid,jump,8
141,Dd5yTxwKzXw,what does the girl do after she finished her hair in the video,photo display,2
142,eQwLUJ3P7wI,what does the long hair man do before the video ended,pull dog down,2
143,FtRGOgg0Qh8,what does he do after the bike ride,lying on ground,2
144,eJc8bebOF2A,what does the man do before the shot put,two circles of rotation,2
145,ej_fSoVO0R8,what does this person do before putting a cake on an orange skin,rolling skin,2
146,qiTQ02NDSlQ,what does the person in the blue jacket do after he took the bread,feed bread,2
147,eKdtOKqLMRE,what did the man throw away after the show,drumstick,5
148,Ar6TcWqwK-A,what did the person in the video do after turning on the lights,make face,8
149,eKdtOKqLMRE,what did the person in the video do before he go on the stage,take off your shirt,2
150,fvEaC-fTR4A,what happened to the screen after the table football match ended in the video,appearance of name,2
151,eVkp83uGf3Y,what does the red vest man do before throwing the hammer,circle,2
152,_2txWbQfJrY,what does the short sleeves person do after laying down the tiles,press ceramic tile,8
153,Ar6TcWqwK-A,what happened after the person wiped the cup in the video,throw away tissue,2
154,5oyenoaVB-w,what does the person at the beginning of the video wear after wearing the car,scarf,5
155,FPf7mAgdy0I,what does the blond woman take before the hair,hairpin,2
156,_fLhtWSCaSo,what happened after they pruned leaves in the video,branches and leaves fell,2
157,FmfAB-ppHBs,what do they do after they had cigarettes,release white smoke,2
158,elD1P_1oiUk,what does the person throw at the man in light blue shorts before drifting,rugby,2
159,EQrcCmgraa8,what does the woman do before putting the barbell on the shelf,unload barbell,2
160,eQ0sW4hJ9zU,what do you need to do before you start a new mower,plug igniter,2
161,Em4ekFj4XIs,what does the blue shoe trainer do before the dog was trained to take the frisbee,training skills,2
162,f1d7_TKXNYQ,what did the athlete do after throwing the javelin,movement of hand,8
163,1IbkFHNA7fg,what happens to the person in a suit after the brick,clap hands,2
164,BD9CAqD1Yf8,what happens after the group of people at the beginning of the video appeared,play volleyball,2
165,BdRH3lpopLQ,what happens after a team played the ball,hold together,2
166,p54LLMnyg54,what happens after wiping a window,continue down,2
167,N5Dt3ycaun4,what happens after boxing,embrace,2
168,hGPCJb2g1tQ,what happens after digging pits in people wearing gray clothes and hats,black container,2
169,MQ9Ojge7CyA,what happens after diving,rest,2
170,FaP7unySMOs,what happens after drinking water,put cup down,2
171,1494UwmvAJM,what happens after eating,vertical thumb,2
172,HJWwqjLf1I4,what happens after everyone in the video got into the water,swimming,2
173,KXcVYfMuUGw,what happens after the man threw out the plate,dog catches the plate,2
174,nGKc2t-NMYc,what happens to purple clothes after practicing horizontal bar gymnastics,then training,2
175,wnNiWoJxfSQ,what happens after hitting the ball,running,2
176,30hcRe-5_3M,what happens after playing football,clapping,2
177,XCfrjEJkl3M,what happens after playing basketball,listen to coach,2
178,MonWdYi3a0I,what happens after using the computer,bathe dog,2
179,X_K7Aa3Aa-E,what happens after playing the guitar,chat,2
180,f8SWWURHV1M,what happens after playing the piano,twist and a smile,2
181,Feq-2NIDl94,what happens after putting the note in the bow,pinch with perturbed,2
182,zEttEkAdHts,what happens after placing the banknote on the gift,fixed with adhesive paper,2
183,F7K2oT7ADkk,what happens after putting the soap back on the stage,wash clothes,2
184,9ZVWD0ZKXZg,what happens after rock climbing,boy comes down,2
185,vSv1qMMt4Bk,what happens after shoveling snow,snow fall,2
186,wh6P2C2avqc,what happens after sitting on fitness equipment,do bike ride,2
187,vqyQF-1Zc_E,what happens after sitting on the rubber band,slide,2
188,dskswWtslKc,what happens after surfing halfway,mans hand,2
189,zOI9SjQpc_Q,what happens after the number 9 player kicked the ball,ball goal net,2
190,J9KjpzKM8oc,what happens after the air cushion stuck on the stone,need some help to correct,2
191,QImpWj3AJcY,what happens after the ball entered the cup,cup was removed,2
192,Pjnuoa4o55c,what happens after playing the ball,ball is bounced back,2
193,rrpEOrMpBuE,what happens after waving,camel came over,2
194,kyx4MMmBr3A,what happens after the start of the biking,pulverized people lead,2
195,3dWw9GLcOeA,what happens after the bird first slid off the roof,fly back to roof,2
196,EXPYu9bfNcE,what happens after the black dog was flushed,blow dry,2
197,iixZLnyLuN8,what happens to the brunette girl after eating the cone,play with toys,2
198,_jV5sAOOHLk,what happens to the person in black clothes after they removed the tires,change tire,2
199,cnMvMvVBXiI,what happens to the person wearing black clothes after pushing the car,fixed tire,2
200,g1na24Bd5Rs,what happens after the person in black sat down,drink milk tea,2
201,Ki13JIVwMdk,what happens after the black and white dog barked,go to black dog,2
202,J1QB1y3vXLY,what happens after the blond woman opened her mouth,smile,2
203,8tCRp3NKtkI,what happens after the blond man jumped the grid,bow,2
204,IclzwpxVvIk,what happens to the blond woman after she finished her eyes,powdery base,2
205,JcAAwYpJhm8,what happens after the blue cup fell into the pool,cup fell into water,2
206,rCLGy2NA0aE,what happens after the blue man came down from the chair,turn head,2
207,jEOtcfk220s,what happens after the blue team scored,blue team serve,2
208,ys4_S3JHQjs,what happens after a boater in black,get home,2
209,raxeBxPQqlk,what happens after the boy changed his dart head,throwing darts,2
210,Y7aacWy3WDo,what happens after the brain .is cut,blood flow,2
211,nciIPwJTok8,what happens after the car wash,car scrubbing,2
212,WPYQ27GjFKc,what happens after the card was issued,take out chips,2
213,W2Mh01F3K5c,what happens after the cement was painted on the wall,smooth and smooth,2
214,aNsj5OrEGLY,what happens after the tomatoes are diced,treatment of chili,2
215,sRNqK_QZbMs,what happens after the coach's demonstration,start training,2
216,Jhcis4S2Vsg,what happens after the contestant launched the discus in the video,discus collision,2
217,pMtu7fOHdII,what happens after the participants got together,fight,2
218,zKYiTA6WBS4,what happens after the person in the black jacket curled hair,perm hand,2
219,Son8UiVlzu0,what happens to the person wearing black clothes after the demonstration ,tutoring cadets,2
220,0lbv0AE5gJQ,what happens after the disabled finished washing a white dress,wash clothes,2
221,Znb6Y9m_PsQ,what happens to the dog in the video after jumping to the desk,eat ball,2
222,ZAX6OojMg38,what happens to the dog in the video after jumping to the desk,dog planer,2
223,7H1KylJRii8,what happens after pouring wine in the cup,wine precipitation,2
224,9G172wz5Yqo,what happens after taking the elevator,start skiing,2
225,tzP0lKSUv_o,what happens after the weightlifting of the athletes,clenching fist,2
226,dU7jG8G5li0,what happens after the english word is engraved,assemble cake,2
227,W97fdJ2Rn9g,what happens after you put your eyelashes on,clip eyelash,2
228,Nc9yr4urskA,what happens after the fight,push people,2
229,3Nd3Aai1bVA,what happens after passing the first corner of the game in the first place,brace with feet,2
230,kD_EJjQCLoY,what happens after winning the front whee,take off faucet,2
231,VZ5R9goklpo,what happens after the game starts,grab ball,2
232,_G4EVIG9YaE,what happens after they draw up the stack in video,lay by small tree,2
233,-pK2JheWido,what happens after the girl stand at the starting point,start skiing,2
234,EETygPQ-j08,what happens after the blue girl help the sofa chair,stop roller skating,2
235,cVFVREeD6hM,what happens after landscaping in the video,do edge decoration,2
236,1xtKGlUp4Vg,what happens to the gray hair person after combing the dog,nail clipper,2
237,rnI9vGr5V1k,what happens to the person in the plaid dress after wore the knife,look at blade,2
238,62M1FRXsUiM,what happens after playing the harmonica,chat,2
239,brJIpRGcBFU,what happens to the mower after it hit an obstacle,evade automatically,2
240,5LGh56euaZs,what happens after the person in the video get on a huge ice floe,snowball,2
241,pcLGX5qvUcI,what happens after the skates put down the hockey stick,slide out of site,2
242,F-Z17rHI_ms,what happens after the man in the gray suit stand on his head,diving,2
243,H33jSILKmfI,what happens after the kicker kicked his leg,punching,2
244,b0qGo-HT5iQ,what happens after the woman closed her eyes,open ones eyes,2
245,Pv4FwH2TC6Y,what happens after the woman finishes her eye shadow,video end,2
246,Pho9Hgdvc0g,what happens after the woman riding a wheelbarrow,be interviewed,2
247,s9PkkDEl6aY,what happens after the leader at the station ended,go down table,2
248,8teo_0gxzgk,what happened after the man with long hair clenches his fist,blonde womens car wash,2
249,8kaQq1mR2ys,what happens to the long-haired woman after diving,splash,2
250,96vBhCFBbQk,what happens after the rubik's cube,look computer desktop,2
251,li_mry59KCM,what happens after the man finish the plate,board stands up,2
252,1vTHJMMPZN0,what happens after the man teased the dog,drive car,2
253,ZLJ2BmBkLJg,what happens after the guy in the black jacket touched the shaving bubble,keep shaving,2
254,7OcxT66BxX0,what happens after the man in the black hat put down the microphone,leave,2
255,qiupddjDHDg,what happens after the person wearing the blue vest got another shovel,tilling,2
256,rGOOlcdpfLg,what happens after the guy in the plaid coat twisted over the clothespin,take out gun,2
257,qGLRri_c6n8,what happens after the man in the pink shirt raise his hands,turn around,2
258,nnEPsdA0080,what happens after the man in white pulled the rope,be pulled by ship,2
259,qZtdMXkHRXw,what happens after the person in the white jacket lowered his head,throwing darts,2
260,ZJnXQw84xvo,what happens after the man in the white jacket turned the bucket upside down,tapping bucket,2
261,H9PaZiWLgXU,what happens to the man in the yellow dress after putting ice in the cup,cilping some lemon slices,2
262,_zqj6daJo9U,what happens after successful weight lifting in the video,bow to lens,2
263,jBlG0L_M96g,what happens to the man who stepped on the jumper after he scores,jump,2
264,lfbspF18Wrw,what happens after this guy took the cookie out ,eat up,2
265,laU1Hvm5Dis,what happens after this man turns six laps,throw ball out,2
266,HX6BeHLQh5s,what happens after the man wiped his shoes,shoes getting clean,2
267,IYLJU87AkOg,what happens to the man wearing a hat after throwing darts for the first time,throw it to wall,2
268,6G8m-vsGTA8,what happens after the man with the camera cut his head,drive car,2
269,EDDbcCBnTQM,what happens after the man stopped spraying water,regulating nozzle,2
270,ZsVfa3JIUNU,what happens to the person who took the microphone after the interview,start tug of war,2
271,j81ndpMC9gI,what happens after spreading catnip,cut nails for cat,2
272,28WDlVOgslg,what happens after paint nails,nail polish,2
273,5nu47s7JrfY,what happens after pouring oil into the pan,frying eggs,2
274,V9mLJJn8Lvw,what happens after origami,adhesive tape,2
275,nkWMBJC2Qec,what happens after playing table tennis,rest,2
276,TnP6coXzbLY,what happens to the people in the video after assembling the tires,blow up,2
277,zO5JMTzLDHw,what happens after the man in the black jacket salut,go back to walk,2
278,Gfu8e6R6jUU,what happens after the person wearing black shoes clapping,dance,2
279,U2cCOj3LiAA,what happens after the man in the video pull the rope,stretch leg,2
280,-p7aui3nAnc,what happens after the performers stopped performing,shot switching,2
281,YRGiRmcHdUY,what happens after the man in the video grinds his knife,continue to grind knife,2
282,GcjzvBatqb4,what happens after the orange guy pulled four times,stop,2
283,I1iUbyjWy7k,what happens to the man in red after he play the ball,run,2
284,KMK3_VeODlk,what happens after the person wearing the vest threw the ball out,hit each other,2
285,uLphvdhunTY,what happens after the man in the video pull the rope,hand down,2
286,I3tqWc5wG78,what happens after the man in the sweater chain pours the sauce,stir,2
287,IDuoF51IMJ8,what happens after the man wearing the white head was hit by the ball,grey team celebrates,2
288,HTSxgkgecS0,what happens after the person wearing the white hair change his direction,draw rubber rafts,2
289,LPRLV0eVgfY,what happens to the person in the pink after he push the right swing,push left dolls,2
290,8_fjIZkNHms,what happens to the purple lady after she hit the dog,dog ran away,2
291,nc_NMp3vAH0,what happens after pushing curling,wait for,2
292,TtewPltwuXw,what happens after the man in red stop playing the flute,speak,2
293,8IrulONeC28,what happens after the red woman push a round block,block gliding,2
294,qKp2QCheLwU,what happens after the man in the red hat salut,walk away,2
295,iqyc2JM0uIU,what happens after the man in the red pour the finished wine into the cup,put slice of lemon,2
296,pop8YCGQpWk,what happens after the player start,jump into sand pit,2
297,f1d7_TKXNYQ,what happens after the man who is running throw the javelin,look javelin distance,2
298,9SIPJd4Hls4,what happens after mixing salad,cooling,2
299,x6pYeqq3O08,what happens after kicking the sand,rest,2
300,3oy4P1gyU4k,what happens after the second video player appear after playing billiards,eliminated,2
301,zA2zZPyYLlU,what happens after the ship in the video sailed,smoothly,2
302,zYjLA99koBk,what happens to the boat in the video after it slip backwards,water is flooded,2
303,mxn6WcmdNpA,what happens after tied shoe rope,get up to pay,2
304,n832gDqfWl4,what happens after wipe shoes,change pair of shoes,2
305,vBOFzuS-Djo,what happens after the short hair baby dive ,go ashore,2
306,BWAedc31WdY,what happens to the short hair man after trimming the beard,flushing razor,2
307,3Rzyta8op6s,what happens after the ball in the video is throw,emotional excitement,2
308,BBKSKU6dGGk,what happens after shoveling into snow,throw snow on edge,2
309,N4qhryre_TE,what happens after the somersault,interview,2
310,Jdu5AqaWfz8,what happens after the staff put down the rope,start bungee jumping,2
311,JY9oOSfjj_E,what happens after the standing man pulled the rope,start skiing,2
312,W2eumNilwuI,what happens after the rope start,takeoff,2
313,PkRvgIFREJU,what happens after the stones were throw,skip lattices,2
314,pYaZLHpl_Ww,what happens to the man in the striped shirt after he take out the bottle,packing,2
315,kTqt7ry3eVM,what happens after the person in the red swimsuit finished jumping water,got third,2
316,Aj5ncX5G_2w,what happens after the table leg was burned in the video,darkened,2
317,PBYg9ekd86w,what happens after the table tennis ball was thrown into the cup,drink water,2
318,4JmFOPoKluM,what happens after the children and adults tug of war,lose match,2
319,gr53ih2aFkE,what happens after they win the tug of war,run,2
320,zV08tITKFMM,what happens after the man in gold spun twice,cow fell down,2
321,4LpqPUWHH5k,what happens after the players lifted weights in video,throw barbell,2
322,8A4cZXyDrkU,what happens after the white woman looked at the manual,screwing nut,2
323,sk_pnoqXxhs,what happens to the water after the woman cleaned her baby,hold child,2
324,kkji9hespu0,what happens to the woman after the water was boiling,cook noodles,2
325,hG4VsZQQ2_c,what happens to the wood splitter after he helped the wood,continue to split wood,2
326,v6P6bBPBXYw,what happens after the yellow team scored,hold together,2
327,9snScUyE8_4,what happens to the vlond girl after talking,dishware,2
328,QoRlOa6R1LY,what happens after the third subtitle appears,man jump down,2
329,w10Nr_wOh8g,what happens after you post two wallpaper,cutting wallpaper,2
330,nbHBjdE8oNo,what happens after washing,chat,2
331,v6DdLg_Xnkg,what happens after wearing the contact lens of the right eye,wear good left eye,2
332,rWfQj0X8WU4,what happens after wearing a jumper,start jumping,2
333,v-UmNR5yeDc,what happens after the umpire begins,punches,2
334,qZMcbBsQorE,what happens before the person wearing the gray vest stand up,jump,2
335,oKJ1BnvHbbA,what happens to the person in the red dress before throwing the javelin,run up,2
336,xMNmGr96O9U,what happens before playing bowling,take ball,2
337,12Nafz_Yet4,what happens before boxing,exhibition,2
338,WXH-Tj0-g4w,what happens before you clean up the garbage,garden cart,2
339,mUmSJps9WJI,what happens before the christmas tree,dismantling light bulb,2
340,woI_zP55qWo,what happens before diving,go to diver,2
341,eg2s5lOfKGI,what happens before the exercise,step by step,2
342,RlRrktN5iH4,what happens before yoga,sit down on your knees,2
343,ngMxE3CnGVg,what happens before making lollipops,preparation materials,2
344,HPKHDze6XfA,what happens before opening the door,snow removal,2
345,zxpQHLwZCug,what happens before the man in blue cut wood,bend,2
346,mXqmRAUsn9U,what happens before skateboarding ,get off car,2
347,LL0uQO4q_wY,what happens before the third roll of curling,let curling round legs,2
348,IMMoglaJ3RY,what happens before weeding weeds into garbage bags,weed,2
349,mnNgZ-D5cKc,what happens before riding,garden cart,2
350,X52XHYKeLiE,what happens before riding,wear gloves,2
351,_a527xEzhkw,what happens before she plays the harmonica in video,fermation,2
352,-8SgY4vW4xM,what happens before she shaved the dog in the video,shaving cutter,2
353,ryFSf08mrkA,what happens before you stop shooting,put down saw,2
354,FkbpD1zWdPw,what happens before the archery competition,rest,2
355,4H9MMsj4mcM,what happens to the athlete before he get off the horse,pony fell down,2
356,JvPVYSb_5o8,what happens before the athlete lift the barbell completely,take deep breath,2
357,RLBfyIVpocE,what happens before the athlete throw the discus,circle,2
358,s6fEIuHPJ4Y,what happens before the athlete throw the hammer,circle,2
359,M2Y2Cw2kwDo,what happens before the athlete jump into the water,raise ones hands,2
360,St1RRi-aeNM,what happens before the athletes throw the discus,turn two laps,2
361,e-Xf13exY4E,what happens before the black man knock,drum,2
362,ikUNgSw4Gys,what happens before the blond woman's tongue is caught,open ones mouth,2
363,vBaiedxy1Uw,what happens to the blue boy before he throw water at the girl with long hair,finger guessing game,2
364,5mWZY2XkWSQ,what happens before the boy come to the table,wave,2
365,jDlvGWOdcqU,what happens before the car is supported,pull hand brake,2
366,rM02KWikOo8,what happens to the kid before he go skateboarding,floating on water,2
367,k6pN0WRr2Ws,what happens before the coach do the aerobics,open sound,2
368,S7CW-si2JjA,what happens before the cream is wiped,cut cake,2
369,NJRrhNrEMsk,what happens before the tire is removed,air pressure,2
370,JGxf-jke0e8,what happens to the dog before it is touch,go to woman,2
371,nbOsU2Vmp1U,what happens before making a drink,introduce,2
372,9UvVeUYQLgA,what happens before the field shooting,prepare weapon,2
373,XI7qJHE61zo,what happens before we mop the floor,sweep floor,2
374,72_9wLYUDGM,what happens before the horizontal bar gymnastics,prepare bar,2
375,LzPppxSWYNY,what happens to the athlete before he jump,run up,2
376,9TjPn_ejmFU,what happens before the kid in the blue and white stripes paint the board,dipping pigment,2
377,PTwe2IIo3To,what happens before the lady in gray stops,dance,2
378,-EIsT868Trw,what happens before the gray woman jumps,squat,2
379,e4kS-n7_LRU,what happens before the little girl licks the ice cream,sleep,2
380,NjXCZYO3zwU,what happens before the magic cube is completed,count,2
381,G0VWk5WqDp0,what happens before the blue vest is thrown out,pull hands back,2
382,3kxP8qOtym8,what happened before the man in the gray vest kicked his foot,punches,2
383,uWfQcDvel84,what happened before the man in the hat pushed the weeder,tidy wire,2
384,s84PG-JfEwc,what happened before the man pulling the rope began to draw water,floating in water,2
385,IGPZFun1Ok4,what happened before the man in the hat shook hands,bet on,2
386,mZYWfmsYQPA,what happened before playing table tennis,introduction of pang ball,2
387,N9VOdVOiPNM,what happened before the piercings,display ornaments,2
388,FKtYeu2bJpA,what happened before practicing basketball,explanation skills,2
389,uty4eGb_vvU,what happened before the red woman dance tai chi sword,stand straight,2
390,vQ82ItCG1x4,what happened to the sailboat before driving,erect canvas,2
391,40BPDWojssc,what happened before the shoeshine,dipping shoe oil,2
392,EPsSfOEd3BU,what happened to female athletes before shot put out,circle,2
393,LWt2FuU0uC4,what happened before the third player threw the shot,fooling around,2
394,mVAP-WyEc7w,what happened before cutting tomatoes,sharpening,2
395,JsPIzRsUtlE,what happened before the tug of war started,measuring distance,2
